user,is_private,is_failure,is_root,is_success,command,ipaddress,date,target
oracle,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:55,0
mysql,0,1,0,0,0,185.246.130.20,2021-11-18 23:04:58,0
user,0,1,0,0,0,185.246.130.20,2021-11-18 23:05:00,0
root,0,0,1,1,1,185.246.130.20,2021-11-18 23:05:01,1
root,0,0,1,1,1,195.3.147.47,2021-11-18 23:18:11,1
user,0,1,0,0,0,205.185.123.252,2021-11-18 23:26:03,0
user,0,1,0,0,0,205.185.114.87,2021-11-18 23:30:12,0
root,0,1,1,0,0,45.88.137.100,2021-11-18 23:41:32,0
user,0,1,0,0,0,141.98.10.63,2021-11-19 00:05:04,0
user,0,1,0,0,0,141.98.10.63,2021-11-19 00:19:48,0
user,0,1,0,0,0,209.141.33.121,2021-11-19 01:49:08,0
root,0,0,1,1,1,195.3.147.47,2021-11-19 02:23:27,1
user,0,1,0,0,0,209.141.43.8,2021-11-19 02:24:17,0
root,0,1,1,0,0,45.88.137.253,2021-11-19 02:45:34,0
root,0,1,1,0,0,45.88.137.253,2021-11-19 02:45:34,0
root,0,1,1,0,0,45.88.137.253,2021-11-19 02:45:35,0
user,0,1,0,0,0,209.141.44.165,2021-11-19 03:10:57,0
user,0,1,0,0,0,205.185.119.112,2021-11-19 03:15:10,0
user,0,1,0,0,0,205.185.113.226,2021-11-19 03:33:36,0
user,0,1,0,0,0,195.133.18.24,2021-11-19 04:04:19,0
user,0,1,0,0,0,195.133.18.24,2021-11-19 04:04:59,0
user,0,1,0,0,0,195.133.18.24,2021-11-19 04:05:39,0
user,0,1,0,0,0,205.185.119.112,2021-11-19 04:18:46,0
user,0,1,0,0,0,141.98.10.63,2021-11-19 04:34:59,0
user,0,1,0,0,0,212.192.241.37,2021-11-19 06:00:16,0
user,0,1,0,0,0,195.133.18.210,2021-11-19 06:04:28,0
root,0,1,1,0,0,222.186.153.230,2021-11-19 06:43:37,0
helpdesk,0,1,0,0,0,116.110.252.176,2021-11-19 07:03:14,0
root,0,1,1,0,0,116.110.18.33,2021-11-19 07:03:17,0
admin,0,1,0,0,0,115.76.92.112,2021-11-19 07:03:25,0
zabbix,0,1,0,0,0,116.110.18.33,2021-11-19 07:03:26,0
root,0,1,1,0,0,116.110.252.176,2021-11-19 07:03:28,0
root,0,1,1,0,0,116.110.252.176,2021-11-19 07:03:29,0
admin,0,1,0,0,0,115.76.92.112,2021-11-19 07:03:37,0
admin,0,1,0,0,0,116.110.18.33,2021-11-19 07:03:43,0
sshd,0,1,0,0,0,116.110.252.176,2021-11-19 07:03:44,0
ftp,0,1,0,0,0,115.76.92.112,2021-11-19 07:03:45,0
admin,0,1,0,0,0,116.110.18.33,2021-11-19 07:03:49,0
